id,course_id,tee_box_name,hole_number,par,yardage,meters,handicap
e09bc1b3-6dbf-442e-a971-cfc74b0f77f1,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),18,5,447,,
e0a9ffec-7523-49e5-a323-0f3ca7340054,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,7,4,431,,
e1c2e670-880a-4532-8859-5f200173ec62,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New (w),18,5,454,,
e2fd9e3a-34e0-4b53-ae3a-3cdbf478206f,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),1,4,355,,
e4e7b493-9072-412e-ba87-7a1f992df3f8,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),17,3,207,,
e5394014-e0c6-46bd-b112-848e18d90470,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),9,5,486,,
e5de6242-aab3-4fc8-a45b-176345bd1a38,519f37fb-65ec-412a-a241-838c7a30a05d,Red,9,5,490,,
e693d16a-03ec-4dee-b365-b1f768dd54c6,519f37fb-65ec-412a-a241-838c7a30a05d,Red(w),18,5,450,,
e7ac4b47-330c-41a7-b5d6-1cf653cf1035,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),7,4,360,,
e7c2aca2-2339-4a8e-bbbd-6950b2049050,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,15,4,365,,
e7d19e1b-ac45-4734-8288-7f4a5ca88211,0f43bfb1-c569-4504-a7b6-d51056c9522e,White,3,4,,,12
e8935602-a80d-49ec-b39e-f02b38d199a7,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,2,4,395,,
e8f871af-c10d-4cc4-bd07-e6540919aeaa,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,15,4,413,,
e911752c-2f10-4c9b-b644-5e70842a8643,519f37fb-65ec-412a-a241-838c7a30a05d,Red,12,4,345,,
e9a555a0-6eb5-4740-a070-f45a0c74e527,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New (w),2,4,403,,
ea61065a-3c11-4dc3-8f39-db150376231d,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),4,5,482,,
eb110a97-f599-4523-aca3-a0caa32f8c5a,519f37fb-65ec-412a-a241-838c7a30a05d,White (w) Re-Rate 1,10,4,401,,
ebc31d74-34de-445e-ba44-19750df76d0b,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,8,4,460,,
ebe89354-6fcb-48f7-acf1-b95ab28492f6,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,3,3,181,,
ec99a509-72cc-42e0-afa3-a38fe9930ec0,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,11,4,405,,
ed081756-f601-4a51-98fe-cb772c32e3dd,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),10,4,380,,
ed9d5023-181c-49b4-befa-c6009660d72d,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,5,4,326,,
ede53d4a-3721-49ab-a1ea-4b201c4e0c78,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,5,4,366,,
ee2b4c08-3afc-4ef1-8f5c-67b5bf40d29e,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,17,3,164,,
f09d3a40-b458-4168-a3cc-d0fbffafad34,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,6,3,145,,
f176db61-776a-44b6-b022-96354849bf92,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),10,4,401,,
f1a85b1e-4360-4227-9cfa-b5456ee48cf0,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,3,3,153,,
